from_pin.full_name,to_pin.full_name,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i59/i298/Y,i59/i154/A1,0.00011761425167122751,0.00011783629627615254,0.00011761425167122751,UNINIT,0.00011783629627615254,UNINIT
i59/i347/Y,i59/i491/C,8.185813138439357e-05,8.144873664406305e-05,8.185813138439357e-05,UNINIT,8.144873664406305e-05,UNINIT
i59/i347/Y,i59/i231/C,5.216660436957454e-05,5.19306819768417e-05,5.216660436957454e-05,UNINIT,5.19306819768417e-05,UNINIT
i59/i346/Y,i59/i134/C,3.9246383920499284e-05,3.905209489118988e-05,3.9246383920499284e-05,UNINIT,3.905209489118988e-05,UNINIT
i59/i346/Y,i59/i243/B,3.460426389878535e-05,3.444466933899548e-05,3.460426389878535e-05,UNINIT,3.444466933899548e-05,UNINIT
i59/i345/Y,i59/i171/A,3.189809527626153e-05,3.189809527626153e-05,3.189809527626153e-05,UNINIT,3.189809527626153e-05,UNINIT
i59/i345/Y,i59/i297/A,2.845640389992354e-05,2.845640389992354e-05,2.845640389992354e-05,UNINIT,2.845640389992354e-05,UNINIT
i59/i297/Y,i59/i105/C,2.178118796436479e-05,2.195466031196247e-05,2.178118796436479e-05,UNINIT,2.195466031196247e-05,UNINIT
i59/i344/Y,i59/i559/B,7.237266341775239e-05,7.167183513345776e-05,7.237266341775239e-05,UNINIT,7.167183513345776e-05,UNINIT
i59/i344/Y,i59/i53/B,6.592643098102258e-05,6.520478601501623e-05,6.592643098102258e-05,UNINIT,6.520478601501623e-05,UNINIT
i59/i343/Y,i59/i168/B,4.139050213680662e-05,4.100886297209172e-05,4.139050213680662e-05,UNINIT,4.100886297209172e-05,UNINIT
i59/i343/Y,i59/i140/C,3.252259572761318e-05,3.218952882022563e-05,3.252259572761318e-05,UNINIT,3.218952882022563e-05,UNINIT
i59/i486/Y,i59/i471/A,4.628242233906121e-05,4.59840499011932e-05,4.628242233906121e-05,UNINIT,4.59840499011932e-05,UNINIT
