from_pin.full_name,to_pin.full_name,sense,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i43/i46/i140/A2,i43/i46/i140/Y,negative_unate,13.44157,10.058362,13.44157,UNINIT,10.058362,UNINIT
i43/i46/i140/B,i43/i46/i140/Y,negative_unate,10.846601,9.716078,10.846601,UNINIT,9.716078,UNINIT
i43/i46/i140/C,i43/i46/i140/Y,negative_unate,11.731024,8.873518,11.731024,UNINIT,8.873518,UNINIT
i43/i46/i141/A,i43/i46/i141/Y,negative_unate,9.890902,13.612446,9.890902,UNINIT,13.612446,UNINIT
i43/i46/i141/B,i43/i46/i141/Y,negative_unate,11.605833,14.755253,11.605833,UNINIT,14.755253,UNINIT
i43/i46/i141/C,i43/i46/i141/Y,negative_unate,13.444246,15.468706,13.444246,UNINIT,15.468706,UNINIT
i43/i46/i141/D,i43/i46/i141/Y,negative_unate,12.629951,15.141437,12.629951,UNINIT,15.141437,UNINIT
i43/i46/i141/E,i43/i46/i141/Y,negative_unate,13.208238,14.852662,13.208238,UNINIT,14.852662,UNINIT
i43/i46/i142/A,i43/i46/i142/Y,negative_unate,15.64872,11.774549,15.64872,UNINIT,11.774549,UNINIT
i43/i46/i142/B,i43/i46/i142/Y,negative_unate,14.412201,14.273672,14.412201,UNINIT,14.273672,UNINIT
i43/i46/i143/A1,i43/i46/i143/Y,negative_unate,28.093132,16.412783,28.093132,UNINIT,16.412783,UNINIT
i43/i46/i143/A2,i43/i46/i143/Y,negative_unate,26.699598,16.71574,26.699598,UNINIT,16.71574,UNINIT
i43/i46/i143/B1,i43/i46/i143/Y,negative_unate,26.015621,19.813488,26.015621,UNINIT,19.813488,UNINIT
i43/i46/i143/B2,i43/i46/i143/Y,negative_unate,22.180054,18.469625,22.180054,UNINIT,18.469625,UNINIT
i43/i46/i143/C,i43/i46/i143/Y,negative_unate,14.769296,16.989445,14.769296,UNINIT,16.989445,UNINIT
i43/i46/i144/A,i43/i46/i144/Y,negative_unate,23.468204,14.160759,23.468204,UNINIT,14.160759,UNINIT
i43/i46/i144/B,i43/i46/i144/Y,negative_unate,23.561785,15.426956,23.561785,UNINIT,15.426956,UNINIT
i43/i46/i144/C,i43/i46/i144/Y,negative_unate,20.802523,12.361246,20.802523,UNINIT,12.361246,UNINIT
i43/i46/i145/A,i43/i46/i145/Y,negative_unate,12.738304,14.347505,12.738304,UNINIT,14.347505,UNINIT
i43/i46/i145/B,i43/i46/i145/Y,negative_unate,15.544346,16.070993,15.544346,UNINIT,16.070993,UNINIT
i43/i46/i146/A1,i43/i46/i146/Y,positive_unate,20.203075,22.110325,20.203075,UNINIT,22.110325,UNINIT
i43/i46/i146/A2,i43/i46/i146/Y,positive_unate,20.958817,25.361769,20.958817,UNINIT,25.361769,UNINIT
i43/i46/i146/B,i43/i46/i146/Y,positive_unate,20.303499,30.89493,20.303499,UNINIT,30.89493,UNINIT
i43/i46/i146/C,i43/i46/i146/Y,positive_unate,18.6591,27.583174,18.6591,UNINIT,27.583174,UNINIT
i43/i46/i147/A,i43/i46/i147/Y,negative_unate,15.659297,15.362658,15.659297,UNINIT,15.362658,UNINIT
i43/i46/i147/B,i43/i46/i147/Y,negative_unate,18.68084,17.152498,18.68084,UNINIT,17.152498,UNINIT
i43/i46/i148/A,i43/i46/i148/Y,negative_unate,18.227076,19.507603,18.227076,UNINIT,19.507603,UNINIT
i43/i46/i148/B,i43/i46/i148/Y,negative_unate,18.994406,18.207756,18.994406,UNINIT,18.207756,UNINIT
i43/i46/i149/A,i43/i46/i149/Y,negative_unate,15.477125,10.17227,15.477125,UNINIT,10.17227,UNINIT
i43/i46/i149/B,i43/i46/i149/Y,negative_unate,13.299355,11.330049,13.299355,UNINIT,11.330049,UNINIT
i43/i46/i15/A,i43/i46/i15/Y,negative_unate,15.013825,16.720888,15.013825,UNINIT,16.720888,UNINIT
i43/i46/i15/B,i43/i46/i15/Y,negative_unate,17.293331,16.833754,17.293331,UNINIT,16.833754,UNINIT
i43/i46/i15/C,i43/i46/i15/Y,negative_unate,17.424347,16.20919,17.424347,UNINIT,16.20919,UNINIT
i43/i46/i150/A,i43/i46/i150/Y,negative_unate,9.926877,7.156315,9.926877,UNINIT,7.156315,UNINIT
i43/i46/i151/A,i43/i46/i151/Y,negative_unate,9.55864,8.080125,9.55864,UNINIT,8.080125,UNINIT
i43/i46/i152/A,i43/i46/i152/Y,negative_unate,9.709451,5.787973,9.709451,UNINIT,5.787973,UNINIT
i43/i46/i153/A,i43/i46/i153/Y,negative_unate,9.200902,5.946819,9.200902,UNINIT,5.946819,UNINIT
i43/i46/i154/A,i43/i46/i154/Y,negative_unate,13.752172,10.80726,13.752172,UNINIT,10.80726,UNINIT
i43/i46/i155/A,i43/i46/i155/Y,negative_unate,18.695822,9.512521,18.695822,UNINIT,9.512521,UNINIT
i43/i46/i155/B,i43/i46/i155/Y,negative_unate,13.768051,10.056267,13.768051,UNINIT,10.056267,UNINIT
i43/i46/i156/A,i43/i46/i156/Y,negative_unate,10.355073,6.300245,10.355073,UNINIT,6.300245,UNINIT
i43/i46/i156/B,i43/i46/i156/Y,negative_unate,9.706346,7.809688,9.706346,UNINIT,7.809688,UNINIT
i43/i46/i157/A,i43/i46/i157/Y,negative_unate,10.643145,12.323537,10.643145,UNINIT,12.323537,UNINIT
i43/i46/i157/B,i43/i46/i157/Y,negative_unate,10.420734,10.341009,10.420734,UNINIT,10.341009,UNINIT
i43/i46/i158/A1,i43/i46/i158/Y,negative_unate,13.357076,10.140925,13.357076,UNINIT,10.140925,UNINIT
i43/i46/i158/A2,i43/i46/i158/Y,negative_unate,14.331219,9.984516,14.331219,UNINIT,9.984516,UNINIT
i43/i46/i158/B,i43/i46/i158/Y,negative_unate,13.471725,9.85831,13.471725,UNINIT,9.85831,UNINIT
i43/i46/i158/C,i43/i46/i158/Y,negative_unate,14.256079,10.607338,14.256079,UNINIT,10.607338,UNINIT
i43/i46/i159/A1,i43/i46/i159/Y,negative_unate,13.275761,8.96525,13.275761,UNINIT,8.96525,UNINIT
